,Unnamed: 0,edu,edu_level,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,student_status,public_sector,private_sector,lfs,occup,industry,self_emp,union,part_time,major_activity,major_source_inc,multiple_jobs,num_jobs,exp,reason_pt,hourly_wage,hours_paid,months_last_worked,tenure,sex,age,year,weight,salary,firm_size,loc_size
77109,213787,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,occupations unique to primary industry,,0,0,0,working,wages and salaries,0,1,30.0,,44.59262569832403,3129.0,,360.0,0,51.0,1997,220.2529,130642.45810055868,1000.0,1000.0
77110,213790,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,health care and social assistance,0,1,1,working,wages and salaries,0,1,0.0,only find PT,29.385843575419,886.0,,14.0,1,40.0,1997,414.0443,34837.98882681564,1000.0,1000.0
77111,213793,5-8 years of elementary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,23.0,,22.15696089385475,2086.0,,119.0,1,59.0,1997,789.8245,48773.1843575419,100.0,100.0
77112,213794,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,"professional, scientific and technical services",0,0,0,working,wages and salaries,0,2,3.0,,12.193296089385475,1390.0,,16.0,0,22.0,1997,134.9038,21773.743016759778,1.0,1.0
77113,213796,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,manufacturing,0,1,0,working,wages and salaries,0,1,26.0,,28.567150837988823,2086.0,,111.0,0,45.0,1997,179.8475,66192.17877094971,100.0,100.0
77114,213797,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,sales and service,trade,0,1,1,working,wages and salaries,0,1,12.0,only find PT,26.12849162011173,1251.0,,199.0,1,48.0,1997,442.5326,45289.38547486033,1000.0,100.0
77115,213798,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,senior management,public administration,0,1,0,working,wages and salaries,0,1,5.0,,40.9694748603352,2086.0,,53.0,0,33.0,1997,1301.4222,85353.07262569832,100.0,100.0
77116,213809,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,17.0,,26.9471843575419,1955.0,,197.0,1,47.0,1997,123.273,50515.08379888268,1000.0,1.0
77117,213811,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","trades helpers, construction, and transportation labourers",trade,0,0,0,working,wages and salaries,0,1,44.0,,19.091217877094973,1037.0,,91.0,0,60.0,1997,1067.8768,19160.893854748603,1.0,1.0
77118,213812,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,occupation in protective services,"business, building and other support services",0,0,0,working,wages and salaries,0,1,3.0,,17.41899441340782,2086.0,,26.0,0,23.0,1997,93.1275,53998.882681564246,1.0,1.0
77119,213814,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,clerical and supervisor occupations,educational services,0,0,1,working,wages and salaries,1,2,3.0,only find PT,26.12849162011173,866.0,,99.0,1,25.0,1997,241.7292,24386.59217877095,1000.0,1000.0
77120,213817,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,1,0,employed all year,machine operators and assemblers in manufacturing,utilities,0,1,0,working,wages and salaries,0,1,31.0,,28.30586592178771,2086.0,,372.0,0,50.0,1997,119.4839,108868.71508379887,20.0,20.0
77121,213819,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,1,36.0,,24.40401117318436,2086.0,,17.0,0,57.0,1997,323.5477,52256.98324022346,20.0,20.0
77122,213822,non-university postsecondary certificate,4,1,1,1,0,0,0,1,0,1,0,1,employed all year,middle management,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,9.0,,31.214837988826822,1955.0,,97.0,0,51.0,1997,1307.7238,52256.98324022346,1000.0,1.0
77123,213823,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",machine operators and assemblers in manufacturing,other services,0,0,0,working,wages and salaries,1,3,8.0,,27.138793296089386,830.0,1.0,5.0,0,27.0,1997,642.465,13064.245810055863,1.0,1.0
77124,213826,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,sales and service,trade,0,1,0,working,wages and salaries,0,1,24.0,,24.038212290502795,2086.0,,158.0,0,41.0,1997,219.2409,50515.08379888268,20.0,20.0
77125,213827,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,sales and service,trade,0,0,0,working,wages and salaries,0,1,12.0,,26.21558659217877,2086.0,,27.0,1,44.0,1997,188.5316,50515.08379888268,100.0,100.0
77126,213828,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",other trades,manufacturing,0,0,0,working,wages and salaries,0,2,1.0,,23.080167597765364,1564.0,,8.0,0,21.0,1997,201.6294,50515.08379888268,20.0,20.0
77127,213834,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,middle management,construction,0,0,0,working,wages and salaries,0,1,29.0,,50.16670391061452,3129.0,,77.0,0,51.0,1997,124.4933,169835.19553072625,100.0,20.0
77128,213835,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"technical, assisting and related in health",health care and social assistance,0,1,0,working,wages and salaries,0,1,25.0,,28.201351955307263,1955.0,,301.0,1,46.0,1997,46.6026,57482.68156424581,100.0,100.0
77129,213841,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,1,working,wages and salaries,0,1,0.0,only find PT,13.499720670391063,1434.0,,20.0,1,36.0,1997,1511.2777,53998.882681564246,1.0,1.0
77130,213843,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,1,0,employed all year,other trades,utilities,0,1,0,working,wages and salaries,0,1,29.0,,52.25698324022346,2086.0,,348.0,0,46.0,1997,249.5402,139351.95530726257,1000.0,1000.0
77131,213845,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,manufacturing,0,0,0,working,wages and salaries,0,1,4.0,,30.030346368715083,2086.0,,25.0,0,29.0,1997,256.4742,60966.48044692737,20.0,20.0
77132,213846,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,23.0,,58.96329608938547,1981.0,,260.0,0,46.0,1997,219.4025,113223.46368715084,1000.0,1000.0
77133,213847,some university (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,25.0,,43.26878212290503,2017.0,,219.0,0,45.0,1997,251.487,108868.71508379887,1000.0,1000.0
77134,213850,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,3.0,,17.92414525139665,2086.0,,149.0,1,33.0,1997,961.7339,48773.1843575419,500.0,100.0
77135,213851,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,professional in business and finance,,0,0,0,working,wages and salaries,0,1,17.0,,24.717553072625694,2607.0,,182.0,0,34.0,1997,1527.1326,66192.17877094971,1.0,1.0
77136,213853,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,contractors and supervisors in trades and transportation,construction,0,1,0,working,wages and salaries,0,1,14.0,,49.13898324022347,1877.0,,48.0,0,42.0,1997,177.5597,104513.96648044692,1000.0,20.0
77137,213854,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,employed all year,"trades helpers, construction, and transportation labourers",manufacturing,0,0,0,working,wages and salaries,0,1,21.0,,23.77692737430168,2086.0,,39.0,0,40.0,1997,938.4146,55740.78212290503,1000.0,100.0
77138,213863,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,other services,0,1,0,working,wages and salaries,1,2,12.0,,34.83798882681564,2086.0,,102.0,0,46.0,1997,137.357,53998.882681564246,1.0,1.0
77139,213864,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"labourer in processing, manufacturing and utilities",manufacturing,0,1,0,working,wages and salaries,0,1,26.0,,38.32178770949721,2503.0,,219.0,0,42.0,1997,1322.8917,100159.21787709495,500.0,500.0
77140,213871,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,"occupations in social science, government service and religion",health care and social assistance,0,1,0,working,wages and salaries,0,1,3.0,,39.01854748603352,1564.0,,20.0,1,30.0,1997,36.6175,67934.07821229051,1.0,1.0
77141,213872,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,sales and service,"information, culture and recreation",0,0,0,working,wages and salaries,0,1,1.0,,21.773743016759777,1880.0,,24.0,1,28.0,1997,635.6209,13499.720670391062,100.0,20.0
77142,213873,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,7.0,,46.73516201117318,2050.0,,150.0,0,34.0,1997,635.6209,87094.97206703911,1000.0,1000.0
77727,215416,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,middle management,other services,0,0,0,working,wages and salaries,0,1,44.0,,38.70500558659218,2346.0,,136.0,0,61.0,1997,482.7958,91449.72067039106,1000.0,20.0
77728,215418,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,middle management,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,15.0,,51.83892737430168,2086.0,,176.0,0,35.0,1997,785.0945,113223.46368715084,1000.0,20.0
77729,215420,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",middle management,trade,0,0,0,working,wages and salaries,0,2,15.0,,26.12849162011173,1396.0,3.0,8.0,0,43.0,1997,179.7179,45289.38547486033,20.0,1.0
77730,215423,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"wholesale, technical, insurance, real estate sales specialists",trade,0,0,0,working,wages and salaries,0,1,26.0,,17.83705027932961,2346.0,,81.0,0,45.0,1997,373.6043,47031.28491620112,1.0,1.0
77731,215432,non-university postsecondary certificate,4,1,1,1,0,0,0,1,0,1,1,0,employed all year,occupation in protective services,public administration,0,1,0,working,wages and salaries,0,1,31.0,,45.39389944134078,2190.0,,263.0,0,49.0,1997,158.6421,104513.96648044692,500.0,1.0
77732,215435,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"technical, assisting and related in health",health care and social assistance,0,1,0,working,wages and salaries,0,1,13.0,,72.93332960893854,980.0,,103.0,1,40.0,1997,111.3229,71417.87709497206,100.0,100.0
77733,215437,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,"information, culture and recreation",0,1,0,working,wages and salaries,0,1,19.0,,35.064435754189944,1955.0,,223.0,1,38.0,1997,101.2057,69675.97765363129,1000.0,1.0
77734,215438,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,childcare and home support workers,health care and social assistance,0,0,1,working,wages and salaries,0,1,8.0,personal or family responsabilities,16.931262569832406,782.0,,71.0,1,53.0,1997,596.7284,20902.793296089385,100.0,20.0
77735,215440,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,transport and equipment operators,trade,0,0,0,working,wages and salaries,0,1,12.0,,29.612290502793297,2086.0,,93.0,0,34.0,1997,193.0736,50515.08379888268,1000.0,1.0
77863,215777,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,occupation in protective services,public administration,0,1,0,working,wages and salaries,0,1,10.0,,44.191988826815646,2190.0,,77.0,0,34.0,1997,154.5715,104513.96648044692,100.0,1.0
77864,215779,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,"occupations in social science, government service and religion",educational services,0,1,1,working,wages and salaries,0,1,8.0,personal preference,45.15003351955308,1043.0,,28.0,1,39.0,1997,539.0768,32225.13966480447,1000.0,20.0
77865,215783,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,43.0,,41.80558659217878,2086.0,,24.0,0,57.0,1997,232.9004,91449.72067039106,1.0,1.0
77866,215784,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,professional in health,health care and social assistance,0,0,1,working,wages and salaries,0,2,6.0,only find PT,21.773743016759777,1147.0,,11.0,1,33.0,1997,145.985,16983.519553072627,20.0,20.0
77867,215787,some university (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",construction trades,trade,0,0,0,working,wages and salaries,0,2,7.0,,19.57894972067039,1182.0,,7.0,0,29.0,1997,304.1731,25257.54189944134,1.0,1.0
77868,215788,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"trades helpers, construction, and transportation labourers",other services,0,0,0,working,wages and salaries,0,1,14.0,,18.638324022346367,2086.0,,51.0,0,33.0,1997,226.2465,43547.48603351956,100.0,100.0
77869,215792,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,34.0,,49.33059217877096,1995.0,,400.0,1,51.0,1997,635.8142,108868.71508379887,1000.0,1000.0
77870,215798,5-8 years of elementary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,11.0,,26.12849162011173,3129.0,,34.0,0,31.0,1997,916.3922,69675.97765363129,500.0,100.0
77871,215799,university certificate below bachelor,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,sales and service,accommodation and food services,0,0,0,working,wages and salaries,0,1,23.0,,19.92732960893855,2086.0,,38.0,0,44.0,1997,201.2483,38321.78770949721,1000.0,20.0
77872,215800,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,middle management,health care and social assistance,0,1,0,working,wages and salaries,0,1,27.0,,42.36299441340783,2346.0,,125.0,1,48.0,1997,779.4166,91449.72067039106,100.0,100.0
78011,216224,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,"employed, unemployed and not in labour force during year","retail salespersons, sales clerks, cashiers",accommodation and food services,0,0,0,working,wages and salaries,0,1,14.0,,14.631955307262572,638.0,,74.0,1,50.0,1997,775.1429,6445.027932960894,20.0,20.0
78012,216226,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"labourer in processing, manufacturing and utilities",manufacturing,0,1,0,working,wages and salaries,0,1,27.0,,40.06368715083799,2086.0,,312.0,0,44.0,1997,237.1696,95804.46927374302,1000.0,1000.0
78013,216228,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,professional in health,health care and social assistance,0,1,0,working,wages and salaries,0,1,34.0,,50.515083798882685,1955.0,,120.0,1,58.0,1997,246.2802,100159.21787709495,100.0,100.0
78014,216230,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,manufacturing,0,1,0,working,wages and salaries,0,1,14.0,,37.24181005586592,2294.0,,167.0,0,37.0,1997,493.5612,87094.97206703911,20.0,20.0
78015,216231,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,middle management,public administration,0,1,0,working,wages and salaries,0,1,19.0,,50.91572067039107,1955.0,,81.0,0,45.0,1997,67.6372,100159.21787709495,500.0,500.0
78016,216232,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,16.0,,13.935195530726258,1496.0,,8.0,1,52.0,1997,132.9962,21773.743016759778,20.0,20.0
78017,216233,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,31.0,,23.72467039106145,2040.0,,375.0,1,52.0,1997,142.8383,40063.68715083799,20.0,20.0
78018,216236,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"occupations in social science, government service and religion",other services,0,0,0,working,wages and salaries,0,1,19.0,,24.68271508379888,2607.0,,126.0,0,44.0,1997,246.9189,45289.38547486033,100.0,1.0
78019,216239,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,32.0,,41.80558659217878,2086.0,,336.0,0,47.0,1997,183.5616,91449.72067039106,500.0,500.0
78020,216241,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,18.0,,26.999441340782127,2086.0,,67.0,0,38.0,1997,360.3525,62708.37988826816,100.0,100.0
78021,216243,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,trade,0,0,0,working,wages and salaries,0,1,5.0,,20.90279329608939,2086.0,,104.0,1,29.0,1997,1547.2691,38321.78770949721,100.0,1.0
78022,216244,some university (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,"employed part-year, not in labour force part-year",occupations unique to primary industry,"forestry, fishing, mining, oil and gas",0,0,0,working,wages and salaries,0,2,5.0,,22.64469273743017,593.0,4.0,3.0,0,23.0,1997,69.0297,32225.13966480447,1000.0,100.0
78023,216247,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,clerical and supervisor occupations,public administration,0,1,0,working,wages and salaries,0,1,17.0,,32.32965363128491,1888.0,,57.0,1,33.0,1997,99.5842,53998.882681564246,1000.0,1000.0
78024,216248,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",natural and applied sciences,"professional, scientific and technical services",0,0,0,working,wages and salaries,0,2,5.0,,39.244994413407824,1710.0,,57.0,1,28.0,1997,227.5928,80127.37430167598,1.0,1.0
78025,216249,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,middle management,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,15.0,,23.44596648044693,1695.0,,220.0,1,35.0,1997,67.1237,40063.68715083799,1000.0,20.0
78026,216254,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"technical, assisting and related in health",health care and social assistance,0,1,0,working,wages and salaries,0,1,20.0,,29.33358659217877,1955.0,,126.0,1,41.0,1997,353.3866,57482.68156424581,1000.0,1000.0
78027,216262,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative",construction,0,0,0,working,wages and salaries,0,1,13.0,,22.749206703910616,1955.0,,115.0,1,52.0,1997,1439.5548,43547.48603351956,500.0,100.0
78028,216264,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,manufacturing,0,0,0,working,wages and salaries,0,1,25.0,,25.91946368715084,2086.0,,223.0,1,41.0,1997,268.5567,60966.48044692737,100.0,100.0
78029,216265,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed, unemployed and not in labour force during year",occupations unique to primary industry,agriculture,0,0,0,working,wages and salaries,0,2,18.0,,20.90279329608939,1598.0,0.0,7.0,0,36.0,1997,167.98,38321.78770949721,1.0,1.0
78030,216266,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,manufacturing,0,1,0,working,wages and salaries,1,2,9.0,,71.38303910614525,1825.0,,79.0,0,30.0,1997,206.7442,87094.97206703911,1000.0,1000.0
78031,216268,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,31.0,,65.84379888268155,1669.0,,352.0,0,55.0,1997,135.2321,104513.96648044692,500.0,20.0
78032,216273,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,"professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,10.0,,45.25454748603352,1929.0,,108.0,0,34.0,1997,195.8194,91449.72067039106,100.0,100.0
78033,216274,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",clerical and supervisor occupations,construction,0,1,0,working,wages and salaries,0,1,25.0,,38.32178770949721,1043.0,,31.0,0,48.0,1997,75.9967,50515.08379888268,1000.0,100.0
78034,216276,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers","finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,1,2,5.0,,17.558346368715082,2190.0,,31.0,1,22.0,1997,1164.3464,47031.28491620112,1000.0,100.0
78035,216278,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, not in labour force part-year","chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,1,22.0,,17.90672625698324,923.0,,29.0,1,44.0,1997,166.8527,17418.99441340782,1.0,1.0
78036,216279,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,1,working,wages and salaries,0,1,16.0,personal or family responsabilities,86.95562011173185,1261.0,,220.0,1,44.0,1997,857.2382,113223.46368715084,1000.0,100.0
78037,216280,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"labourer in processing, manufacturing and utilities",manufacturing,0,1,0,working,wages and salaries,0,1,22.0,,41.80558659217878,2086.0,,261.0,0,41.0,1997,455.6118,108868.71508379887,1000.0,1000.0
78038,216282,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, not in labour force part-year",other trades,other services,0,0,0,working,wages and salaries,0,1,13.0,,25.257541899441343,922.0,7.0,12.0,0,35.0,1997,493.042,18289.94413407821,1.0,1.0
78039,216284,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,6.0,,22.01760893854749,2346.0,,63.0,1,33.0,1997,267.8572,52256.98324022346,100.0,100.0
78040,216288,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,"employed, unemployed and not in labour force during year","financial, secretarial and administrative",educational services,0,0,0,working,wages and salaries,0,1,21.0,,43.547486033519554,1433.0,1.0,9.0,1,40.0,1997,1124.2584,26999.441340782123,500.0,500.0
78072,216368,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative",construction,0,0,0,working,wages and salaries,0,1,15.0,,63.7012625698324,2086.0,,151.0,1,34.0,1997,191.7562,113223.46368715084,20.0,20.0
78073,216370,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,sales and service,other services,0,0,0,working,wages and salaries,0,1,19.0,,17.83705027932961,1955.0,,223.0,1,51.0,1997,309.1306,36579.88826815642,1000.0,1.0
78074,216373,some university (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,employed all year,childcare and home support workers,health care and social assistance,1,0,0,working,wages and salaries,1,2,1.0,,10.62558659217877,3389.0,,43.0,1,28.0,1997,200.8097,20031.843575419,20.0,20.0
78075,216375,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,"occupations in social science, government service and religion",health care and social assistance,0,0,1,working,wages and salaries,0,1,10.0,other,49.76606703910615,1460.0,,104.0,1,37.0,1997,183.6155,78385.47486033519,100.0,1.0
78076,216376,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers","finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,1,2,2.0,,42.50234636871508,1564.0,,36.0,0,47.0,1997,487.1167,20902.793296089385,1.0,1.0
78077,216384,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative",,0,0,0,working,wages and salaries,0,1,8.0,,24.66529608938548,2086.0,,93.0,1,25.0,1997,1394.1993,47031.28491620112,1.0,1.0
78078,216385,some university (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,"employed part-year, not in labour force part-year","occupations in art, culture, recreation and sport","information, culture and recreation",0,0,0,working,wages and salaries,0,2,1.0,,12.85521787709497,701.0,1.0,4.0,1,20.0,1997,285.1579,18289.94413407821,1.0,1.0
78079,216386,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,other services,0,0,0,working,wages and salaries,0,1,35.0,,12.576513966480446,1929.0,,50.0,1,59.0,1997,169.7454,26128.49162011173,1.0,1.0
78080,216390,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,transportation and warehousing,0,0,0,working,wages and salaries,0,1,32.0,,42.5371843575419,2086.0,,285.0,1,54.0,1997,316.2836,76643.57541899441,1000.0,100.0
78081,216392,university certificate below bachelor,4,1,1,1,0,0,0,0,0,1,0,1,employed all year,"occupations in social science, government service and religion",trade,0,0,0,working,wages and salaries,1,2,8.0,,21.094402234636878,2581.0,,91.0,0,34.0,1997,1499.9754,60966.48044692737,100.0,20.0
78082,216394,non-university postsecondary certificate,4,1,1,1,0,0,0,1,0,1,0,1,employed all year,professional in business and finance,"information, culture and recreation",0,0,0,working,wages and salaries,0,1,24.0,,16.948681564245813,1955.0,,15.0,1,43.0,1997,259.4837,41805.58659217877,100.0,100.0
78083,216398,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",clerical and supervisor occupations,trade,0,0,0,working,wages and salaries,0,1,8.0,,17.41899441340782,2066.0,,12.0,1,40.0,1997,32.74,33096.08938547486,20.0,20.0
78084,216399,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,1,20.0,,14.788726256983242,1929.0,,75.0,1,43.0,1997,640.1451,26128.49162011173,1000.0,20.0
78166,216610,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,natural and applied sciences,public administration,0,0,0,working,wages and salaries,1,2,20.0,,53.51115083798882,1955.0,,234.0,0,37.0,1997,420.7975,104513.96648044692,500.0,500.0
78167,216616,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,1,10.0,,20.90279329608939,2086.0,,108.0,1,28.0,1997,250.3805,34837.98882681564,100.0,20.0
78168,216619,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"trades helpers, construction, and transportation labourers",construction,0,1,0,working,wages and salaries,0,1,11.0,,46.26484916201117,2086.0,,27.0,0,32.0,1997,922.3439,139351.95530726257,1000.0,500.0
78169,216622,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative","professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,10.0,,29.629709497206708,1825.0,,117.0,1,29.0,1997,207.2484,57482.68156424581,1.0,1.0
